tweet_preproc,sentiment
  dalar pueblo argentino creer en vos acá no él rendir nadie sciolipresidente,neu
  rt karlosalvert hoyvotomacri lujan de cuyo y ugarteche mendoza llegar el urna con solo boleta de scioli y q no haber boleta de m,neu
  hoy nuevamente ser colonia o patria hoy otro vez ser bradir o perón sciolipresidente,neu
  y pensar que ser tendencia hoyvotomacri jagir qué garrón,neu
  rt davidjimeneztw rosa maría calaf siempre él haber creer que cuando él ganar el elección tve venir de regalo diario público,pos
  pedir amlo crear comités en el 300 distrito tras rendir protesta indicar que el elección presidencial n,neu
  rt rojoyblanco07 argentino tú querer hoyvotomacri,pos
  elección 2015 el ballottage minuto a minuto,neu
  rt lanacion efemérid uno día como hoy morir john f kennedy presidente de ee uu ser asesinar en dalla texas,neg
  rt roajavier si yo ser argentino votar hoy por daniel scioli para que seguir el paz y el unión de américa latino,pos
  que lujo tú darás dominique que pasar mucho buen día él tú extrañar con edgardo,pos
  buen dia gente bello que tener uno lindo diir dia de elección ir que él poder cambier mauriciomacri presidente,pos
  ir que arrancamosse venir él venir el ola amarillo que ser multicolor xq este vo y vo tambien junto cambier mauricopresidente,neu
  macripresidente hoy nacer otro vez el respeto a nuestro derecho y el condena a el corrupción,neg
  hoy poder ser uno gran día y ya tener uno agujero en el estómago nervioscambiemos,neg
  quién estar peor que ayer video gt gt lt lt conciencia mejorscioli,neu
  rt fedegrecoreal elecciones2015 fedegreco a quién ir a votar yo gustar daniel scioli rt macri,pos
  rt kndmolfese buen día amigo listar para mi clase de italiano pero siempre a él argentina mate de x medio,pos
  demócrata celebrar su victoria en elección de louisiana terra,pos
  en vivo arrancar en argentina el segundo vuelta de el presidencial,pos
  leanfe4 scioli no poder con el pcia ser uno desastre hospital y escuela en ruina vo tendría q volver al cole él escribir tarifazo,neg
  rt criteriopropio argentina iniciar su liberación del populismo bolivariano rastrero conocido como socialismo siglo xxi ideado por fi,pos
cuando vayas a votar recordá que el elección no terminar a el 18 hs tu elección duro 4 año argentinavotar aconciencia,neg
rt sofizamolo el boleta de cambiemos escupida haber necesidad no poder votar como ciudadano lógico dalar,neg
  rt infobae alertar sobre aumento del 35 en el canasta navideño,neu
  santosjorgeh el resultado electoral de argentina ser esperar en venezuela como el esperanza a uno cambio inspostergable,pos
  rt ucrnacional comenzar el elección en todo el país el radical estar cuidar que él respetar el voluntad popular en cada mesa,pos
  rt infobae empezar el primero ballotage presidencial de el historia argentino elecciones2015,pos
rt humodeprimeratw todo decir macri este y scioli aquel yo tener harto él único que yo él subir ser que cada vez faltar menos para el,neg
  rt thedrjustizar igsmusiic lecanardfou porque el fpv ser sin lugar a duda el gobierno corrupto y más soberbio y q menos respetar el c,pos
  cambier tener uno peronista adentro dalejandrobianch,neu
  rt actualidadrt arranco en argentina el 2ª vuelta de el presidencial seguir nuestro cobertura especial,pos
  elección argentino 2015 en vivo,pos
  rt raholaoficial decir victor hugo ninguno idea ser más poderoso q aquel a el q él haber llegar su momento mucho suerte argentino,pos
rt mirtayteso urgenteeeeeeeeeeeeee difundirrrrrrrrrrrrrrrrrrr,neg
  rt fabireloaded hoyvotomacri uhhh nuevo zelanda macri 73 scioli 27 dato by nuestro querido alesmiguens,pos
  argentino vota y cristina kirchner él despedir del poder vía infobae,pos
  rt fbuenabad argentino ser hoy uno esplendor de militancia el movilización fulgor de conciencia en combate contra el fondo buitre camuf,neu
  retweeted él gacetar salta lagacetasalto conocé el historia del balotaje presidencial en argentina,neg
  rt emmabermudez rosa maría calaf siempre él haber creer que cuando él ganar el elección tve venir de regalo,pos
  y viva el mercado jorge de verdad no tener nada mejor que ese dos,neg
rt cristiangomez01 duelo final quien ganar el eleccion presidencial macri = rt scioli =  mg elecciones2015,neg
  rt monteroraya micaelanavarro ir a ganar el elección elcambioqueune psoe,pos
  rt noemireyes227 chelovillaver buen día marcir el gran día llegar yovotoamacri cambier macripresidente,pos
  cancilleriaarg casarosadaar tvpublico laradiopublico agenciatelam sólo pedir como ciudadana y porq amar argentinapaz y mucho conciencia,pos
  mejorscioliganascioli buena a tods estar como el viejo del campo que él levantar al amanecer para ir a votarrr mejorscioli,pos
  rt santosjorgeh él q no poder recuperar en el elección el 12 año perdido él q  poder recuperar en el elección el república el,neg
juanmartini horaciorlarreta y que yo contás de el más de 300 ahogado gracias a el incapacidad e inoperancia de scioli,neg
  rt guillelobo por temor a isis realbarcelonar custodiado por 3000 efectivo de el policía él mismo que en argentina p uno clásico sin vis,neu
  argentino no a uno cambiemos x el mal el odio el soberbia el ajuste el pobreza el devaluacion etc si a uno pai con inclusion votar scioli,neg
  rt todonoticia ahora en el tapa de el día del histórico balotaje,neu
  primicia de cronicatv2 gustavochapur balotaje2015,neu
  rt ciudadanoscs albertrivera este elección él ganar quien piense en españa y el español ilusiónnaranjo,pos
rt ricarf0rt yo enterar que el día de el elección no haber boleta mía yo dar asco este corrupto él creer que poder cagar al puebl,neg
  jaka6763 no llorar por tú argentinar vas a ganar otro vez ser nervio y vida de patriagrande evitar kirchner y chávez estar ahí,pos
  rt guntherfragen hoyvotomacri elecciones2015 por este 8 años12 de prepotencia conservador disfrazado de épica progresista,neg
  teampapii el psoe ganar el elección en andalucía y ciudadano ser el tercero fuerza unetir → teampapii,pos
  buen día para tod y en especial a todo aquel que yo acompañar con su voto sciolipresidente,pos
  rt criteriopropio que el ángel decir amén y el voto de el ciudadano él confirmar,neu
  rt pablopablo716 ser hoy ser acá ser ahora cambier yo merecemo y poder estar mejor,neu
